Diagnóstico principal (CIE10MC)	Provincia, Comunidad y Ciudad autónoma de hospitalización	Total
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Segovia	61
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	CATALUÑA	83
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Badajoz	88
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	PAÍS VASCO	76
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Cádiz	17
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Zaragoza	23
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	León	49
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Cuenca	7
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Castellón/Castelló	9
0203 Melanoma y otras neoplasias malignas de la piel C43-C44	MADRID, COMUNIDAD DE	11
0204 Neoplasia maligna de la mama  C50	TOTAL NACIONAL	65
0204 Neoplasia maligna de la mama  C50	ARAGÓN	93
0204 Neoplasia maligna de la mama  C50	CASTILLA Y LEÓN	85
0204 Neoplasia maligna de la mama  C50	CASTILLA - LA MANCHA	44
0204 Neoplasia maligna de la mama  C50	Tarragona	50
0204 Neoplasia maligna de la mama  C50	Lugo	41
0204 Neoplasia maligna de la mama  C50	RIOJA, LA	65
0205 Neoplasia maligna del útero C53-C55	Jaén	16
0205 Neoplasia maligna del útero C53-C55	Palmas, Las	27
0205 Neoplasia maligna del útero C53-C55	Soria	6
0205 Neoplasia maligna del útero C53-C55	Barcelona	24
0205 Neoplasia maligna del útero C53-C55	Cáceres	22
0205 Neoplasia maligna del útero C53-C55	Araba/Álava	21
0206 Neoplasia maligna del ovario C56	Córdoba	14
0206 Neoplasia maligna del ovario C56	ASTURIAS, PRINCIPADO DE	14
0206 Neoplasia maligna del ovario C56	Palencia	13
0206 Neoplasia maligna del ovario C56	Guadalajara	4
0206 Neoplasia maligna del ovario C56	Valencia/València	12
0206 Neoplasia maligna del ovario C56	MURCIA, REGIÓN DE	8
