Comunidad autónoma	Divisiones COICOP	Año	Total
Cantabria	02. Bebidas alcohólicas, tabaco y narcóticos	2018	333.587
Cantabria	03. Artículos de vestir y calzado	2021	291.388
Cantabria	05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda	2017	407.979
Cantabria	06. Salud	2020	398.423
Cantabria	08. Información y comunicación	2016	263.213
Cantabria	09. Ocio, deporte y cultura	2019	556.274
Cantabria	10. Servicios para la educación	2022 (P)	99.277
Cantabria	12. Seguros y servicios financieros	2018	370.311
Cantabria	13. Cuidados personales, protección social y bienes y servicios varios	2021	450.003
Cantabria	P.3. Gasto en consumo final de los hogares	2017	8.243.783
Cantabria	P.4. Consumo final efectivo de los hogares	2020	9.654.890
Castilla y León	02. Bebidas alcohólicas, tabaco y narcóticos	2016	1.448.337
Castilla y León	03. Artículos de vestir y calzado	2019	1.334.982
Castilla y León	04. Vivienda, agua, electricidad, gas y otros combustibles	2022 (P)	8.901.781
Castilla y León	06. Salud	2018	1.537.762
Castilla y León	07. Transporte	2021	4.045.029
Castilla y León	09. Ocio, deporte y cultura	2017	2.183.275
Castilla y León	10. Servicios para la educación	2020	506.440
Castilla y León	12. Seguros y servicios financieros	2016	1.324.291
Castilla y León	13. Cuidados personales, protección social y bienes y servicios varios	2019	1.902.371
Castilla y León	Total gasto en consumo final de los hogares interior	2022 (P)	38.598.797
Castilla y León	P.4. Consumo final efectivo de los hogares	2018	40.745.357
Castilla - La Mancha	01. Alimentos y bebidas no alcohólicas	2021	3.676.081
Castilla - La Mancha	03. Artículos de vestir y calzado	2017	1.035.847
Castilla - La Mancha	04. Vivienda, agua, electricidad, gas y otros combustibles	2020	5.653.611
Castilla - La Mancha	06. Salud	2016	1.122.927
Castilla - La Mancha	07. Transporte	2019	3.839.428
Castilla - La Mancha	08. Información y comunicación	2022 (P)	889.460
Castilla - La Mancha	10. Servicios para la educación	2018	303.881
Castilla - La Mancha	11. Restaurantes y servicios de alojamiento	2021	2.389.863
Castilla - La Mancha	13. Cuidados personales, protección social y bienes y servicios varios	2017	1.265.573
Castilla - La Mancha	Total gasto en consumo final de los hogares interior	2020	22.334.611
Castilla - La Mancha	P.4. Consumo final efectivo de los hogares	2016	29.244.009
Cataluña	01. Alimentos y bebidas no alcohólicas	2019	16.084.847
Cataluña	02. Bebidas alcohólicas, tabaco y narcóticos	2022 (P)	5.328.466
Cataluña	04. Vivienda, agua, electricidad, gas y otros combustibles	2018	30.793.218
Cataluña	05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda	2021	5.154.463
Cataluña	07. Transporte	2017	15.057.746
Cataluña	08. Información y comunicación	2020	3.941.537
Cataluña	10. Servicios para la educación	2016	2.048.316
Cataluña	11. Restaurantes y servicios de alojamiento	2019	18.422.295
Cataluña	12. Seguros y servicios financieros	2022 (P)	8.610.802
Cataluña	Total gasto en consumo final de los hogares interior	2018	129.338.667
Cataluña	P.3. Gasto en consumo final de los hogares	2021	120.947.710
