Sexo	Diagnóstico principal (CIE10MC)	Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Total
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	01 Andalucía	18 Granada	3.624
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	04 Balears, Illes		10.993
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	07 Castilla y León	37 Salamanca	1.677
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	08 Castilla - La Mancha	45 Toledo	3.475
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	11 Extremadura		7.657
Ambos sexos	0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34	Total Nacional	15 Navarra, Comunidad Foral de		4.706
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	01 Andalucía		3.928
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	02 Aragón	22 Huesca	157
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	07 Castilla y León	05 Ávila	33
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	08 Castilla - La Mancha	02 Albacete	125
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	10 Comunitat Valenciana		4.411
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	12 Galicia	32 Ourense	347
Ambos sexos	0203 Melanoma y otras neoplasias malignas de la piel C43-C44	Total Nacional	18 Ceuta		18
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	01 Andalucía	23 Jaén	1.578
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	05 Canarias	35 Palmas, Las	1.256
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	07 Castilla y León	42 Soria	260
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	09 Cataluña	08 Barcelona	19.629
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	11 Extremadura	10 Cáceres	1.402
Ambos sexos	0204 Neoplasia maligna de la mama  C50	Total Nacional	16 País Vasco	01 Araba/Álava	417
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	01 Andalucía	11 Cádiz	1.626
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	02 Aragón	50 Zaragoza	1.338
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	07 Castilla y León	24 León	501
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	08 Castilla - La Mancha	16 Cuenca	154
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	10 Comunitat Valenciana	12 Castellón/Castelló	485
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Total Nacional	13 Madrid, Comunidad de		6.580
Ambos sexos	0205 Neoplasia maligna del útero C53-C55	Extranjero			126
Ambos sexos	0206 Neoplasia maligna del ovario C56	Total Nacional	01 Andalucía	41 Sevilla	1.665
Ambos sexos	0206 Neoplasia maligna del ovario C56	Total Nacional	06 Cantabria		466
Ambos sexos	0206 Neoplasia maligna del ovario C56	Total Nacional	07 Castilla y León	49 Zamora	339
Ambos sexos	0206 Neoplasia maligna del ovario C56	Total Nacional	09 Cataluña	25 Lleida	399
