Sexo;País de nacimiento;Tipo de dato;Según cuál fuera su conocimiento del castellano hablado;Total
Ambos sexos;Resto del mundo;Porcentajes;Nivel avanzado;34,83
Ambos sexos;Resto del mundo;Porcentajes;Nivel intermedio;32,01
Ambos sexos;Resto del mundo;Porcentajes;Principiante;18,65
Ambos sexos;Resto del mundo;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;5,31
Ambos sexos;Resto del mundo;Porcentajes;No sabe/No contesta;2,21
Hombres;Total;Valores absolutos;Total;2.910,4
Hombres;Total;Valores absolutos;Lengua materna (*);1.289,6
Hombres;Total;Valores absolutos;Nivel avanzado;852,8
Hombres;Total;Valores absolutos;Principiante;207,2
Hombres;Total;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;51,9
Hombres;Total;Valores absolutos;No sabe/No contesta;32
Hombres;Total;Porcentajes;Total;100
Hombres;Total;Porcentajes;Lengua materna (*);44,31
Hombres;Total;Porcentajes;Nivel avanzado;29,3
Hombres;Total;Porcentajes;Nivel intermedio;16,39
Hombres;Total;Porcentajes;Principiante;7,12
Hombres;Total;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;1,78
Hombres;Europa;Valores absolutos;Total;938,1
Hombres;Europa;Valores absolutos;Lengua materna (*);122,9
Hombres;Europa;Valores absolutos;Nivel avanzado;499,9
Hombres;Europa;Valores absolutos;Nivel intermedio;201,5
Hombres;Europa;Valores absolutos;Principiante;80,8
Hombres;Europa;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;26,4
Hombres;Europa;Valores absolutos;No sabe/No contesta;6,5
Hombres;Europa;Porcentajes;Total;100
Hombres;Europa;Porcentajes;Lengua materna (*);13,11
Hombres;Europa;Porcentajes;Nivel intermedio;21,48
Hombres;Europa;Porcentajes;Principiante;8,62
Hombres;Europa;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;2,81
Hombres;Europa;Porcentajes;No sabe/No contesta;0,69
Hombres;América Latina;Valores absolutos;Total;1.208,6
Hombres;América Latina;Valores absolutos;Lengua materna (*);1.127
Hombres;América Latina;Valores absolutos;Nivel avanzado;50,8
Hombres;América Latina;Valores absolutos;Nivel intermedio;21,3
Hombres;América Latina;Valores absolutos;Principiante;2,9
Hombres;América Latina;Valores absolutos;No sabe/No contesta;6,3
Hombres;América Latina;Porcentajes;Total;100
Hombres;América Latina;Porcentajes;Lengua materna (*);93,25
Hombres;América Latina;Porcentajes;Nivel avanzado;4,2
Hombres;América Latina;Porcentajes;Nivel intermedio;1,76
Hombres;América Latina;Porcentajes;Principiante;0,24
Hombres;América Latina;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;0,02
Hombres;América Latina;Porcentajes;No sabe/No contesta;0,52
Hombres;Resto del mundo;Valores absolutos;Total;763,7
Hombres;Resto del mundo;Valores absolutos;Nivel avanzado;302
Hombres;Resto del mundo;Valores absolutos;Nivel intermedio;254,2
Hombres;Resto del mundo;Valores absolutos;Principiante;123,5
Hombres;Resto del mundo;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;25,2
Hombres;Resto del mundo;Valores absolutos;No sabe/No contesta;19,2
Hombres;Resto del mundo;Porcentajes;Total;100
Hombres;Resto del mundo;Porcentajes;Lengua materna (*);5,19
Hombres;Resto del mundo;Porcentajes;Nivel avanzado;39,54
Hombres;Resto del mundo;Porcentajes;Nivel intermedio;33,28
Hombres;Resto del mundo;Porcentajes;Con ninguna o casi ninguna habilidad lingüística;3,3
Ambos sexos;Total;Porcentajes;Nivel avanzado;28,2
Ambos sexos;Europa;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;43,2
Ambos sexos;América Latina;Valores absolutos;Lengua materna (*);2.622,6
Ambos sexos;América Latina;Porcentajes;Principiante;0,27
Ambos sexos;Resto del mundo;Porcentajes;Total;100
Hombres;Total;Valores absolutos;Nivel intermedio;476,9
Hombres;Total;Porcentajes;No sabe/No contesta;1,1
Hombres;Europa;Porcentajes;Nivel avanzado;53,29
Hombres;América Latina;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;0,3
Hombres;Resto del mundo;Valores absolutos;Lengua materna (*);39,7
Hombres;Resto del mundo;Porcentajes;Principiante;16,17
Mujeres;Total;Porcentajes;Total;100
Mujeres;Europa;Valores absolutos;Nivel intermedio;231,4
Mujeres;Europa;Porcentajes;No sabe/No contesta;0,42
Mujeres;América Latina;Porcentajes;Nivel avanzado;5,24
Mujeres;Resto del mundo;Valores absolutos;Con ninguna o casi ninguna habilidad lingüística;48,6
