Tipo de indicador;Periodo;Total
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1991;1,17
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1990;1,25
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1989;1,49
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1988;1,41
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1986;1,87
Total: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2000;74,59
Total: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1990;67,93
Total: Otro personal por investigador;2008;0,65
Total: Otro personal por investigador;1999;0,66
Total: Otro personal por investigador;1989;0,92
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2007;109,70
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1998;69,62
Admin. Pública: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1988;70,24
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);2006;0,72
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1997;0,83
Admin. Pública: Otro personal por investigador (equivalencia a jornada completa);1987;1,79
Enseñanza Sup.: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2005;54,78
Enseñanza Sup.: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1996;40,27
Enseñanza Sup.: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1986;15,45
Enseñanza Sup.: Otro personal por investigador (equivalencia a jornada completa);2004;0,23
Enseñanza Sup.: Otro personal por investigador (equivalencia a jornada completa);1995;0,24
Enseñanza Sup.: Otro personal por investigador (equivalencia a jornada completa);1985;..
Empresas: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2003;161,10
Empresas: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1994;139,16
Empresas: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1984;97,82
Empresas: Otro personal por investigador (equivalencia a jornada completa);2002;1,29
Empresas: Otro personal por investigador (equivalencia a jornada completa);1993;1,47
Empresas: Otro personal por investigador (equivalencia a jornada completa);1983;2,66
IPSFL: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;2001(*);63,60
IPSFL: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1992;70,88
IPSFL: Gasto interno (miles de euros) por investigador en equivalencia a jornada completa;1982;..
IPSFL: Otro personal por investigador (equivalencia a jornada completa);2001;0,47
IPSFL: Otro personal por investigador (equivalencia a jornada completa);1991;1,27
IPSFL: Otro personal por investigador (equivalencia a jornada completa);1981;..
